Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,Date,model_smart_dumb_spread_close,model_percent_bearish_close
0.508,0.479,0.361,0.508,1.0,22.0,11.0,3.891,4.612,1.516,3.432,3.817,13.053,8.917,85.029,2005-11-22,-0.28,0.32
0.347,0.693,0.648,0.347,2.0,23.0,11.0,4.163,4.913,1.485,3.618,4.068,14.334,10.0,84.847,2005-11-23,-0.3,0.35
0.209,-0.146,0.479,0.209,4.0,25.0,11.0,4.299,5.083,1.352,3.669,4.183,15.384,11.077,85.391,2005-11-25,-0.33,0.39
-0.851,-0.027,-0.661,-0.851,0.0,28.0,11.0,3.446,4.248,0.405,2.731,3.294,15.171,11.896,72.769,2005-11-28,-0.3,0.26
0.002,-0.178,0.023,0.002,1.0,29.0,11.0,3.406,4.229,0.325,2.625,3.231,14.833,12.483,77.048,2005-11-29,-0.3,0.23
-0.636,-0.415,-0.642,-0.636,2.0,30.0,11.0,2.742,3.6,-0.251,1.923,2.559,13.761,12.739,68.521,2005-11-30,-0.3,0.23
1.216,0.416,0.007,1.216,3.0,1.0,12.0,3.824,4.736,0.763,2.98,3.656,13.976,12.986,70.378,2005-12-01,-0.38,0.35
0.032,0.054,0.956,0.032,4.0,2.0,12.0,3.776,4.742,0.636,2.893,3.614,14.018,13.193,69.128,2005-12-02,-0.42,0.26
-0.236,-0.14,-0.262,-0.236,0.0,5.0,12.0,3.474,4.492,0.32,2.559,3.319,13.653,13.285,67.404,2005-12-05,-0.42,0.19
0.128,0.617,0.316,0.128,1.0,6.0,12.0,3.521,4.582,0.358,2.578,3.374,13.339,13.296,72.166,2005-12-06,-0.4,0.23
-0.501,-0.632,-0.719,-0.501,2.0,7.0,12.0,2.968,4.075,-0.115,2.005,2.83,12.437,13.124,65.878,2005-12-07,-0.37,0.19
-0.122,-0.118,-0.168,-0.122,3.0,8.0,12.0,2.788,3.936,-0.19,1.812,2.658,11.466,12.792,59.015,2005-12-08,-0.36,0.19
0.281,-0.022,0.266,0.281,4.0,9.0,12.0,3.01,4.187,0.073,2.005,2.873,10.856,12.405,57.886,2005-12-09,-0.36,0.19
0.084,0.062,0.102,0.084,0.0,12.0,12.0,3.042,4.245,0.126,2.006,2.896,10.339,11.992,54.302,2005-12-12,-0.4,0.16
0.555,0.653,0.242,0.555,1.0,13.0,12.0,3.513,4.751,0.542,2.447,3.364,10.375,11.668,54.734,2005-12-13,-0.45,0.19
0.419,0.29,0.676,0.419,2.0,14.0,12.0,3.824,5.124,0.765,2.742,3.693,10.708,11.476,55.368,2005-12-14,-0.47,0.23
-0.141,-0.049,0.053,-0.141,3.0,15.0,12.0,3.57,4.966,0.5,2.502,3.486,10.703,11.322,52.051,2005-12-15,-0.46,0.29
-0.285,0.005,-0.033,-0.285,4.0,16.0,12.0,3.175,4.676,0.173,2.137,3.147,10.289,11.115,58.442,2005-12-16,-0.45,0.32
-0.584,-0.371,-0.628,-0.584,0.0,19.0,12.0,2.505,4.103,-0.331,1.501,2.527,9.257,10.743,51.855,2005-12-19,-0.4,0.23
-0.024,-0.523,-0.171,-0.024,1.0,20.0,12.0,2.367,4.064,-0.284,1.419,2.454,8.319,10.259,58.729,2005-12-20,-0.36,0.26
