Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,timestamp,model_smart_dumb_spread_close,model_percent_bearish_close
-0.641,-2.454,-1.058,-1.332,1.0,3.0,3.0,-20.403,-54.145,-6.771,-18.81,-29.183,-35.67,-26.506,18.324,2009-03-03,0.23,0.0
2.375,1.749,0.91,-0.197,2.0,4.0,3.0,-17.126,-50.069,-3.435,-15.424,-25.667,-36.412,-28.487,22.082,2009-03-04,0.23,0.02
-4.253,-2.189,-2.959,-1.6,3.0,5.0,3.0,-21.727,-56.19,-6.424,-19.745,-30.631,-38.997,-30.589,18.892,2009-03-05,0.24,0.0
0.122,-1.296,-1.643,-1.325,4.0,6.0,3.0,-21.028,-55.466,-5.036,-18.831,-29.869,-40.512,-32.574,19.839,2009-03-06,0.25,0.0
-1.002,-0.546,0.913,-1.896,0.0,9.0,3.0,-21.702,-56.512,-4.879,-19.249,-30.566,-41.784,-34.416,22.792,2009-03-09,0.25,0.05
6.366,3.499,0.951,2.416,1.0,10.0,3.0,-14.005,-46.676,1.118,-11.636,-22.301,-38.868,-35.306,36.198,2009-03-10,0.2,0.09
0.245,1.712,5.089,4.758,2.0,11.0,3.0,-13.307,-45.864,1.088,-10.918,-21.567,-36.0,-35.445,38.084,2009-03-11,0.17,0.05
4.073,2.83,0.127,-0.514,3.0,12.0,3.0,-8.557,-39.733,3.967,-6.32,-16.476,-31.0,-34.556,46.316,2009-03-12,0.13,0.16
0.774,0.752,3.875,4.825,4.0,13.0,3.0,-7.368,-38.241,3.764,-5.287,-15.273,-26.265,-32.898,52.741,2009-03-13,0.09,0.18
-0.352,2.142,1.469,1.206,0.0,16.0,3.0,-7.351,-38.301,2.739,-5.437,-15.37,-22.468,-30.812,45.503,2009-03-16,0.05,0.09
3.214,0.464,-0.457,-1.264,1.0,17.0,3.0,-3.613,-33.595,4.614,-2.069,-11.544,-17.305,-28.11,52.874,2009-03-17,0.02,0.16
2.086,3.203,2.095,2.284,2.0,18.0,3.0,-1.161,-30.493,5.251,0.016,-9.081,-11.767,-24.842,58.865,2009-03-18,0.0,0.23
-1.298,0.025,2.113,4.247,3.0,19.0,3.0,-2.107,-31.83,3.204,-1.248,-10.307,-8.117,-21.497,60.794,2009-03-19,-0.03,0.21
-1.977,-1.784,-1.998,-1.922,4.0,20.0,3.0,-3.807,-34.093,1.001,-3.161,-12.284,-6.401,-18.478,66.28,2009-03-20,0.0,0.2
7.076,4.368,0.797,-0.033,0.0,23.0,3.0,3.264,-24.879,6.035,3.512,-4.768,-0.646,-14.912,74.545,2009-03-23,-0.04,0.21
-2.042,0.034,4.295,3.987,1.0,24.0,3.0,1.457,-27.138,3.261,1.443,-6.814,2.53,-11.423,68.063,2009-03-24,-0.07,0.23
0.963,0.38,-1.752,-1.069,2.0,25.0,3.0,2.535,-25.589,3.347,2.289,-5.68,5.609,-8.017,77.875,2009-03-25,-0.14,0.23
2.332,0.75,2.867,1.318,3.0,26.0,3.0,4.849,-22.411,4.439,4.339,-3.207,9.471,-4.519,79.458,2009-03-26,-0.16,0.21
-2.032,-0.516,-0.077,-0.366,4.0,27.0,3.0,2.942,-24.631,1.966,2.263,-5.242,11.039,-1.408,76.424,2009-03-27,-0.19,0.2
-3.482,-2.366,-4.133,-2.713,0.0,30.0,3.0,-0.417,-28.777,-1.256,-1.214,-8.859,9.876,0.849,63.633,2009-03-30,-0.15,0.2
1.313,0.174,1.42,-0.183,1.0,31.0,3.0,1.015,-26.756,0.045,0.094,-7.301,9.677,2.615,64.844,2009-03-31,-0.16,0.16
1.656,0.387,-0.956,-1.36,2.0,1.0,4.0,2.613,-24.353,1.338,1.654,-5.443,10.464,4.185,62.491,2009-04-01,-0.19,0.16
2.873,3.932,3.984,5.815,3.0,2.0,4.0,5.347,-20.571,3.275,4.228,-2.449,12.821,5.912,65.023,2009-04-02,-0.28,0.21
0.973,-0.368,1.494,0.603,4.0,3.0,4.0,6.223,-19.115,3.366,4.949,-1.433,15.168,7.763,66.751,2009-04-03,-0.32,0.2
-0.833,-0.326,-0.473,-0.381,0.0,6.0,4.0,5.427,-19.812,2.043,3.987,-2.24,16.275,9.465,61.598,2009-04-06,-0.33,0.18
-2.385,-0.67,-1.004,0.196,1.0,7.0,4.0,3.167,-22.432,-0.281,1.577,-4.645,15.367,10.646,54.223,2009-04-07,-0.3,0.14
1.178,-0.683,0.038,-1.755,2.0,8.0,4.0,4.345,-20.707,0.71,2.616,-3.358,15.247,11.566,58.215,2009-04-08,-0.32,0.18
3.805,3.439,1.773,3.159,3.0,9.0,4.0,7.892,-16.015,3.48,5.943,0.422,17.483,12.749,66.534,2009-04-09,-0.38,0.21
0.253,0.864,1.937,0.231,0.0,13.0,4.0,8.094,-15.452,2.979,5.939,0.661,19.21,14.042,58.368,2009-04-13,-0.47,0.29
-2.006,-0.86,-0.603,0.292,1.0,14.0,4.0,6.175,-17.554,0.794,3.855,-1.346,18.969,15.027,58.251,2009-04-14,-0.49,0.23
1.255,-0.461,-0.556,-1.427,2.0,15.0,4.0,7.275,-15.847,1.619,4.849,-0.088,19.407,15.903,58.789,2009-04-15,-0.49,0.21
1.554,2.042,1.372,2.514,3.0,16.0,4.0,8.632,-13.834,2.499,6.058,1.414,20.585,16.839,57.67,2009-04-16,-0.5,0.29
0.497,0.607,1.633,1.382,4.0,17.0,4.0,8.998,-13.033,2.385,6.266,1.864,21.616,17.795,63.493,2009-04-17,-0.51,0.3
-4.279,-0.841,-3.308,-1.888,0.0,20.0,4.0,4.962,-17.828,-1.583,1.995,-2.473,19.209,18.078,60.802,2009-04-20,-0.46,0.18
2.125,-2.094,-0.668,-3.125,1.0,21.0,4.0,6.983,-15.133,0.425,3.876,-0.334,18.516,18.165,62.142,2009-04-21,-0.44,0.23
-0.768,1.375,1.662,1.706,2.0,22.0,4.0,6.326,-15.782,-0.277,3.009,-1.088,17.241,17.98,57.794,2009-04-22,-0.41,0.23
0.992,-1.034,-0.609,0.662,3.0,23.0,4.0,7.188,-14.397,0.567,3.807,-0.093,16.713,17.727,54.535,2009-04-23,-0.44,0.2
1.68,2.22,2.21,1.452,4.0,24.0,4.0,8.646,-12.289,1.767,5.184,1.529,17.251,17.632,55.945,2009-04-24,-0.43,0.23
